State_Abbr,State,Medicaid_Expanded,Total_Financial_Assistance_Apps_Submitted,Medicaid_Indiv_Elig_Applied,CHIP_Indiv_Elig_Applied,Total Medicaid and CHIP Determinations,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
FL,Florida,N,258610.0,166154.0,20694.0,186848.0,3654076,39.3498,-75.5148,3417122,236954,May,2019
CA,California,Y,164529.0,163835.0,12629.0,176464.0,11798654,33.7712,-111.3877,10488884,1309770,May,2019
VT,Vermont,Y,4452.0,4930.0,126.0,5056.0,156055,31.105999999999998,-97.6475,151720,4335,May,2019
OR,Oregon,Y,12444.0,21176.0,2208.0,23384.0,986415,40.3736,-82.7755,857377,129038,May,2019
MD,Maryland,Y,94868.0,34253.0,3463.0,37716.0,1323085,42.2373,-71.5314,1169176,153909,May,2019
NE,Nebraska,N,5980.0,6126.0,887.0,7013.0,246014,35.6411,-79.8431,212215,33799,May,2019
KS,Kansas,N,0.0,0.0,0.0,0.0,371887,39.8647,-86.2604,316672,55215,May,2019
RI,Rhode Island,Y,1861.0,2863.0,367.0,3230.0,301912,44.5672,-122.1269,270273,31639,May,2019
OK,Oklahoma,N,38664.0,38784.0,7672.0,46456.0,730110,42.1497,-74.9384,608905,121205,May,2019
WA,Washington,Y,138375.0,98868.0,1698.0,100566.0,1711475,40.1135,-111.8535,1645081,66394,May,2019
VA,Virginia,Y,30783.0,23600.0,724.0,24324.0,1314268,35.7449,-86.7489,1170077,144191,May,2019
IN,Indiana,Y,82180.0,35265.0,3085.0,38350.0,1463977,40.3363,-89.0022,1351729,112248,May,2019
AZ,Arizona,Y,108127.0,0.0,0.0,0.0,1697945,14.2417,-170.7197,1596372,101573,May,2019
IL,Illinois,Y,66071.0,32115.0,10533.0,42648.0,2818182,44.2394,-114.5103,2558581,259601,May,2019
DC,District of Columbia,Y,4390.0,3850.0,0.0,3850.0,258974,41.5834,-72.7622,242125,16849,May,2019
ID,Idaho,N,7417.0,5369.0,374.0,5743.0,273856,42.0046,-93.214,247939,25917,May,2019
TN,Tennessee,N,15100.0,6805.0,1229.0,8034.0,1427076,41.6772,-71.5101,1376316,50760,May,2019
GA,Georgia,N,44289.0,25190.0,846.0,26036.0,1837888,27.8333,-81.717,1624504,213384,May,2019
AR,Arkansas,Y,20625.0,8729.0,361.0,9090.0,851661,34.9513,-92.3809,762210,89451,May,2019
